NPS Public Use Statistics Query Builder,,,,,,,,
,,,,,,,,
Park,Unit Code,Park Type,Region,State,Year,Month,Recreation Visits,Recreation Hours
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,1,"8,420","8,420"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,2,"10,208","10,208"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,3,"17,282","17,282"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,4,"26,666","26,666"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,5,"25,300","25,300"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,6,"29,515","29,515"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,7,"32,676","32,676"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,8,"35,546","35,546"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,9,"23,124","23,124"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,10,"17,324","17,324"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,11,"14,594","14,594"
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024,12,"8,511","8,511"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,1,"15,538","102,548"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,2,"14,071","92,870"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,3,"25,696","169,596"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,4,"95,165","551,957"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,5,"320,885","2,285,053"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,6,"599,015","4,602,445"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,7,"791,029","5,273,128"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,8,"795,332","5,289,803"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,9,"646,116","4,119,237"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,10,"567,466","3,914,020"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,11,"76,388","458,329"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,12,"14,960","89,762"
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024,1,391,196
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024,2,461,230
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024,3,489,244
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024,4,693,693
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024,5,"5,750","5,750"
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024,6,"8,451","8,451"
