park,unit_code,park_type,region,state,year,month,recreation_visits,recreation_hours
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,1.0,8420,8420
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,2.0,10208,10208
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,3.0,17282,17282
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,4.0,26666,26666
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,5.0,25300,25300
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,6.0,29515,29515
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,7.0,32676,32676
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,8.0,35546,35546
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,9.0,23124,23124
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,10.0,17324,17324
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,11.0,14594,14594
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2024.0,12.0,8511,8511
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,1.0,15538,102548
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,2.0,14071,92870
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,3.0,25696,169596
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,4.0,95165,551957
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,5.0,320885,2285053
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,6.0,599015,4602445
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,7.0,791029,5273128
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,8.0,795332,5289803
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,9.0,646116,4119237
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,10.0,567466,3914020
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,11.0,76388,458329
Acadia NP,ACAD,National Park,Northeast ,ME,2024.0,12.0,14960,89762
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,1.0,391,196
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,2.0,461,230
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,3.0,489,244
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,4.0,693,693
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,5.0,5750,5750
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,6.0,8451,8451
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,7.0,9129,9129
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,8.0,6447,6447
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,9.0,5309,5309
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,10.0,7747,7747
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,11.0,430,430
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2024.0,12.0,359,180
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,1.0,2144,1292
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,2.0,3234,2302
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,3.0,3510,2179
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,4.0,3271,2026
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,5.0,3597,2266
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,6.0,4143,2597
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,7.0,2604,1574
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,8.0,2300,1427
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,9.0,2135,1277
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,10.0,4288,2564
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,11.0,3200,1923
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2024.0,12.0,1581,1001
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,1.0,69,184
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,2.0,172,418
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,3.0,637,1918
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,4.0,732,2226
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,5.0,2387,6386
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,6.0,3776,9682
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,7.0,3998,9758
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,8.0,2786,6562
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,9.0,2706,6702
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,10.0,1490,4042
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,11.0,431,1501
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2024.0,12.0,211,528
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,1.0,0,0
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,2.0,0,0
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,3.0,0,0
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,4.0,0,0
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,5.0,0,0
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,6.0,16,292
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,7.0,132,6224
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,8.0,106,2082
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,9.0,24,948
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,10.0,0,0
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,11.0,0,0
Alagnak WR,ALAG,National Wild & Scenic River,Alaska,,2024.0,12.0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,1.0,284,710
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,2.0,123,308
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,3.0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,4.0,1001,2502
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,5.0,1207,3018
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,6.0,952,2380
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,7.0,955,2388
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,8.0,578,1445
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,9.0,702,1755
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,10.0,1152,2880
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,11.0,1101,2752
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2024.0,12.0,503,1258
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,1.0,4851,8316
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,2.0,12328,19428
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,3.0,16536,25496
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,4.0,19905,30830
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,5.0,18057,28887
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,6.0,20887,33881
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,7.0,21659,35935
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,8.0,20841,34730
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,9.0,17608,30191
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,10.0,19527,32707
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,11.0,12431,20190
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2024.0,12.0,9273,15255
Amache NHS,AMCH,National Historic Site,Intermountain ,,2024.0,1.0,0,0
Amache NHS,AMCH,National Historic Site,Intermountain ,,2024.0,2.0,0,0
Amache NHS,AMCH,National Historic Site,Intermountain ,,2024.0,3.0,0,0
Amache NHS,AMCH,National Historic Site,Intermountain ,,2024.0,4.0,0,0
Amache NHS,AMCH,National Historic Site,Intermountain ,,2024.0,5.0,0,0
Amache NHS,AMCH,National Historic Site,Intermountain ,,2024.0,6.0,0,0
Amache NHS,AMCH,National Historic Site,Intermountain ,,2024.0,7.0,1101,1101
Amache NHS,AMCH,National Historic Site,Intermountain ,,2024.0,8.0,749,749
